name,description,price,category,stock
"Webcam Office","Producto de alta calidad para uso profesional",404.37,Perifericos,330
"Impresora Office","Producto de alta calidad para uso profesional",589.68,Almacenamiento,370
"Tablet Elite","Producto de alta calidad para uso profesional",470.69,Perifericos,12
"Tablet Plus","Producto de alta calidad para uso profesional",1499.35,Almacenamiento,497
"Auriculares Premium","Producto de alta calidad para uso profesional",32.02,Perifericos,287
"Monitor Office","Producto de alta calidad para uso profesional",32.31,Almacenamiento,466
"Tablet Plus","Producto de alta calidad para uso profesional",41.49,Almacenamiento,264
"Teclado Office","Producto de alta calidad para uso profesional",520.11,Almacenamiento,417
"Laptop Plus","Producto de alta calidad para uso profesional",443.21,Almacenamiento,485
"Monitor Elite","Producto de alta calidad para uso profesional",1583.31,Audio,301
"Mouse Elite","Producto de alta calidad para uso profesional",1852.59,Almacenamiento,336
"Teclado Elite","Producto de alta calidad para uso profesional",244.88,Perifericos,165
"Router Smart","Producto de alta calidad para uso profesional",1164.61,Audio,21
"Mouse Ultra","Producto de alta calidad para uso profesional",1626.40,Audio,430
"Tablet Pro","Producto de alta calidad para uso profesional",1685.18,Computadoras,274
"Laptop Plus","Producto de alta calidad para uso profesional",637.88,Redes,246
"Teclado Pro","Producto de alta calidad para uso profesional",355.54,Almacenamiento,138
"Tablet Ultra","Producto de alta calidad para uso profesional",124.09,Almacenamiento,47
"Tablet Plus","Producto de alta calidad para uso profesional",100.92,Redes,243
"Router Elite","Producto de alta calidad para uso profesional",1419.10,Audio,51
"Mouse Pro","Producto de alta calidad para uso profesional",1360.28,Computadoras,65
"Laptop Smart","Producto de alta calidad para uso profesional",1720.92,Computadoras,171
"Monitor Gaming","Producto de alta calidad para uso profesional",995.75,Perifericos,419
"Teclado Pro","Producto de alta calidad para uso profesional",835.30,Audio,223
"Auriculares Pro","Producto de alta calidad para uso profesional",33.32,Computadoras,210
"Mouse Pro","Producto de alta calidad para uso profesional",1428.97,Audio,308
"Monitor Elite","Producto de alta calidad para uso profesional",1993.90,Almacenamiento,300
"Impresora Lite","Producto de alta calidad para uso profesional",482.48,Almacenamiento,165
"Teclado Ultra","Producto de alta calidad para uso profesional",617.05,Audio,452
"Impresora Premium","Producto de alta calidad para uso profesional",403.84,Computadoras,9
"Monitor Gaming","Producto de alta calidad para uso profesional",1274.33,Audio,463
"Mouse Office","Producto de alta calidad para uso profesional",1118.58,Computadoras,302
"Webcam Ultra","Producto de alta calidad para uso profesional",1301.85,Audio,350
"Teclado Pro","Producto de alta calidad para uso profesional",106.73,Perifericos,264
"Monitor Max","Producto de alta calidad para uso profesional",1550.88,Redes,160
"Auriculares Office","Producto de alta calidad para uso profesional",914.41,Audio,120
"Teclado Ultra","Producto de alta calidad para uso profesional",1543.16,Almacenamiento,63
"Teclado Premium","Producto de alta calidad para uso profesional",247.27,Redes,332
"Webcam Office","Producto de alta calidad para uso profesional",1474.86,Audio,49
"Auriculares Office","Producto de alta calidad para uso profesional",456.77,Computadoras,395
"Webcam Max","Producto de alta calidad para uso profesional",1808.32,Computadoras,460
"Webcam Office","Producto de alta calidad para uso profesional",702.00,Redes,94
"SSD Pro","Producto de alta calidad para uso profesional",1825.62,Audio,193
"SSD Ultra","Producto de alta calidad para uso profesional",1920.09,Perifericos,43
"Impresora Lite","Producto de alta calidad para uso profesional",1128.83,Redes,126
"Teclado Office","Producto de alta calidad para uso profesional",1495.55,Perifericos,370
"Webcam Max","Producto de alta calidad para uso profesional",1090.70,Perifericos,268
"Teclado Plus","Producto de alta calidad para uso profesional",972.34,Redes,254
"Teclado Gaming","Producto de alta calidad para uso profesional",1380.06,Audio,18
"Tablet Elite","Producto de alta calidad para uso profesional",1945.22,Almacenamiento,306
"Impresora Gaming","Producto de alta calidad para uso profesional",1461.74,Almacenamiento,8
"Impresora Plus","Producto de alta calidad para uso profesional",1216.02,Redes,25
"Mouse Lite","Producto de alta calidad para uso profesional",1591.36,Almacenamiento,274
"Impresora Smart","Producto de alta calidad para uso profesional",304.53,Almacenamiento,23
"Mouse Elite","Producto de alta calidad para uso profesional",846.64,Perifericos,232
"Teclado Plus","Producto de alta calidad para uso profesional",947.75,Perifericos,34
"Auriculares Elite","Producto de alta calidad para uso profesional",354.01,Redes,155
"Laptop Max","Producto de alta calidad para uso profesional",638.43,Redes,390
"Auriculares Gaming","Producto de alta calidad para uso profesional",261.20,Audio,419
"SSD Office","Producto de alta calidad para uso profesional",1288.40,Perifericos,230
"Teclado Gaming","Producto de alta calidad para uso profesional",143.63,Perifericos,322
"Monitor Elite","Producto de alta calidad para uso profesional",440.70,Perifericos,128
"Webcam Plus","Producto de alta calidad para uso profesional",1955.86,Perifericos,208
"SSD Smart","Producto de alta calidad para uso profesional",1111.09,Almacenamiento,459
"Laptop Pro","Producto de alta calidad para uso profesional",1716.13,Perifericos,233
"Laptop Plus","Producto de alta calidad para uso profesional",1954.26,Perifericos,351
"Laptop Lite","Producto de alta calidad para uso profesional",904.02,Computadoras,383
"Teclado Pro","Producto de alta calidad para uso profesional",56.24,Computadoras,453
"Teclado Office","Producto de alta calidad para uso profesional",1613.63,Perifericos,420
"Auriculares Lite","Producto de alta calidad para uso profesional",1586.27,Redes,486
"Webcam Elite","Producto de alta calidad para uso profesional",1228.92,Computadoras,329
"Auriculares Max","Producto de alta calidad para uso profesional",1401.39,Almacenamiento,384
"Mouse Premium","Producto de alta calidad para uso profesional",1527.41,Perifericos,333
"Tablet Lite","Producto de alta calidad para uso profesional",1532.99,Redes,80
"Auriculares Office","Producto de alta calidad para uso profesional",375.15,Redes,342
"Teclado Smart","Producto de alta calidad para uso profesional",1098.31,Redes,419
"Monitor Lite","Producto de alta calidad para uso profesional",830.39,Audio,22
"Router Ultra","Producto de alta calidad para uso profesional",1523.84,Audio,427
"Tablet Plus","Producto de alta calidad para uso profesional",1709.31,Audio,473
"Router Office","Producto de alta calidad para uso profesional",1731.55,Almacenamiento,193
"Monitor Plus","Producto de alta calidad para uso profesional",370.38,Perifericos,83
"Impresora Lite","Producto de alta calidad para uso profesional",780.14,Audio,77
"Router Ultra","Producto de alta calidad para uso profesional",971.75,Almacenamiento,265
"SSD Pro","Producto de alta calidad para uso profesional",1490.86,Almacenamiento,206
"Mouse Premium","Producto de alta calidad para uso profesional",1588.91,Almacenamiento,149
"Mouse Max","Producto de alta calidad para uso profesional",221.82,Computadoras,24
"Router Lite","Producto de alta calidad para uso profesional",1297.70,Redes,328
"Impresora Max","Producto de alta calidad para uso profesional",864.29,Computadoras,236
"Webcam Plus","Producto de alta calidad para uso profesional",1387.45,Almacenamiento,203
"Router Elite","Producto de alta calidad para uso profesional",1844.34,Redes,16
"Teclado Max","Producto de alta calidad para uso profesional",1611.78,Computadoras,202
"Monitor Office","Producto de alta calidad para uso profesional",1370.20,Redes,285
"Router Elite","Producto de alta calidad para uso profesional",204.20,Computadoras,146
"Router Lite","Producto de alta calidad para uso profesional",309.16,Redes,299
"Auriculares Max","Producto de alta calidad para uso profesional",1924.39,Perifericos,89
"Teclado Elite","Producto de alta calidad para uso profesional",1944.32,Almacenamiento,115
"Teclado Gaming","Producto de alta calidad para uso profesional",780.15,Audio,380
"Tablet Ultra","Producto de alta calidad para uso profesional",893.02,Almacenamiento,359
"Teclado Ultra","Producto de alta calidad para uso profesional",312.12,Computadoras,434
"Teclado Office","Producto de alta calidad para uso profesional",232.01,Computadoras,165
"Tablet Smart","Producto de alta calidad para uso profesional",1462.31,Perifericos,56
"Webcam Gaming","Producto de alta calidad para uso profesional",915.65,Computadoras,482
"Tablet Max","Producto de alta calidad para uso profesional",737.11,Audio,329
"SSD Premium","Producto de alta calidad para uso profesional",1887.16,Audio,331
"Webcam Pro","Producto de alta calidad para uso profesional",1015.72,Audio,19
"Webcam Max","Producto de alta calidad para uso profesional",790.63,Perifericos,99
"Laptop Premium","Producto de alta calidad para uso profesional",1392.10,Redes,187
"Monitor Premium","Producto de alta calidad para uso profesional",1196.58,Almacenamiento,253
"Tablet Lite","Producto de alta calidad para uso profesional",1943.41,Computadoras,330
"Mouse Gaming","Producto de alta calidad para uso profesional",261.26,Audio,316
"Router Ultra","Producto de alta calidad para uso profesional",888.61,Computadoras,486
"Mouse Pro","Producto de alta calidad para uso profesional",32.49,Almacenamiento,74
"Mouse Smart","Producto de alta calidad para uso profesional",1864.85,Redes,354
"Router Premium","Producto de alta calidad para uso profesional",1101.96,Audio,293
"Mouse Elite","Producto de alta calidad para uso profesional",1555.78,Audio,373
"SSD Elite","Producto de alta calidad para uso profesional",1186.81,Perifericos,121
"Mouse Max","Producto de alta calidad para uso profesional",1559.63,Almacenamiento,65
"Teclado Plus","Producto de alta calidad para uso profesional",985.79,Redes,94
"Impresora Elite","Producto de alta calidad para uso profesional",406.27,Computadoras,20
"Impresora Smart","Producto de alta calidad para uso profesional",277.76,Redes,17
"Teclado Pro","Producto de alta calidad para uso profesional",512.20,Perifericos,212
"Impresora Premium","Producto de alta calidad para uso profesional",1450.28,Computadoras,279
"Webcam Lite","Producto de alta calidad para uso profesional",1143.72,Audio,9
"Mouse Office","Producto de alta calidad para uso profesional",1183.11,Computadoras,63
"Router Elite","Producto de alta calidad para uso profesional",1167.96,Perifericos,267
"Laptop Gaming","Producto de alta calidad para uso profesional",767.40,Almacenamiento,227
"Router Ultra","Producto de alta calidad para uso profesional",1703.21,Almacenamiento,298
"Router Elite","Producto de alta calidad para uso profesional",1304.91,Computadoras,185
"Laptop Elite","Producto de alta calidad para uso profesional",638.51,Audio,462
"Monitor Lite","Producto de alta calidad para uso profesional",1027.77,Perifericos,263
"Monitor Gaming","Producto de alta calidad para uso profesional",1772.67,Almacenamiento,284
"Mouse Pro","Producto de alta calidad para uso profesional",1567.06,Redes,404
"Teclado Pro","Producto de alta calidad para uso profesional",335.73,Perifericos,217
"Auriculares Max","Producto de alta calidad para uso profesional",1026.19,Perifericos,29
"Mouse Office","Producto de alta calidad para uso profesional",1207.93,Audio,156
"Impresora Plus","Producto de alta calidad para uso profesional",1850.79,Redes,406
"Laptop Lite","Producto de alta calidad para uso profesional",1020.83,Perifericos,319
"Auriculares Premium","Producto de alta calidad para uso profesional",1433.11,Almacenamiento,294
"Teclado Ultra","Producto de alta calidad para uso profesional",1828.89,Computadoras,487
"Auriculares Elite","Producto de alta calidad para uso profesional",1793.05,Redes,415
"Monitor Office","Producto de alta calidad para uso profesional",1873.98,Computadoras,485
"Mouse Plus","Producto de alta calidad para uso profesional",1336.36,Audio,346
"Auriculares Plus","Producto de alta calidad para uso profesional",677.18,Almacenamiento,214
"SSD Smart","Producto de alta calidad para uso profesional",709.19,Almacenamiento,34
"Mouse Smart","Producto de alta calidad para uso profesional",364.76,Computadoras,142
"Webcam Lite","Producto de alta calidad para uso profesional",608.59,Almacenamiento,141
"Webcam Plus","Producto de alta calidad para uso profesional",1778.49,Computadoras,154
"Mouse Ultra","Producto de alta calidad para uso profesional",244.68,Perifericos,119
"Teclado Plus","Producto de alta calidad para uso profesional",401.51,Perifericos,483
"Teclado Pro","Producto de alta calidad para uso profesional",1398.25,Audio,8
"Laptop Ultra","Producto de alta calidad para uso profesional",663.97,Perifericos,187
"Teclado Smart","Producto de alta calidad para uso profesional",1500.13,Redes,141
"Webcam Max","Producto de alta calidad para uso profesional",1850.18,Audio,327
"SSD Premium","Producto de alta calidad para uso profesional",1966.65,Computadoras,319
"Mouse Office","Producto de alta calidad para uso profesional",1905.62,Computadoras,175
"Router Elite","Producto de alta calidad para uso profesional",580.11,Computadoras,48
"Mouse Pro","Producto de alta calidad para uso profesional",359.48,Audio,391
"Webcam Premium","Producto de alta calidad para uso profesional",1078.74,Perifericos,343
"Mouse Pro","Producto de alta calidad para uso profesional",790.48,Redes,198
"SSD Lite","Producto de alta calidad para uso profesional",899.26,Computadoras,422
"SSD Smart","Producto de alta calidad para uso profesional",1369.36,Audio,189
"Monitor Elite","Producto de alta calidad para uso profesional",1603.24,Almacenamiento,183
"Router Elite","Producto de alta calidad para uso profesional",1456.73,Almacenamiento,366
"Mouse Smart","Producto de alta calidad para uso profesional",1518.19,Redes,5
"Impresora Office","Producto de alta calidad para uso profesional",1934.69,Computadoras,83
"Teclado Gaming","Producto de alta calidad para uso profesional",1466.23,Almacenamiento,386
"Impresora Plus","Producto de alta calidad para uso profesional",132.73,Almacenamiento,340
"Impresora Office","Producto de alta calidad para uso profesional",1208.05,Almacenamiento,346
"Laptop Lite","Producto de alta calidad para uso profesional",1644.01,Redes,216
"Router Elite","Producto de alta calidad para uso profesional",572.82,Perifericos,150
"Monitor Max","Producto de alta calidad para uso profesional",706.88,Redes,63
"Auriculares Elite","Producto de alta calidad para uso profesional",1244.65,Perifericos,414
"Laptop Gaming","Producto de alta calidad para uso profesional",1306.34,Computadoras,497
"Router Premium","Producto de alta calidad para uso profesional",433.81,Audio,293
"Auriculares Max","Producto de alta calidad para uso profesional",1471.75,Audio,26
"Impresora Max","Producto de alta calidad para uso profesional",1082.60,Almacenamiento,360
"Auriculares Gaming","Producto de alta calidad para uso profesional",1375.07,Audio,408
"Router Premium","Producto de alta calidad para uso profesional",147.43,Almacenamiento,446
"Monitor Gaming","Producto de alta calidad para uso profesional",1991.25,Computadoras,405
"SSD Elite","Producto de alta calidad para uso profesional",354.98,Redes,335
"SSD Max","Producto de alta calidad para uso profesional",389.23,Perifericos,478
"Monitor Ultra","Producto de alta calidad para uso profesional",581.75,Perifericos,303
"Mouse Gaming","Producto de alta calidad para uso profesional",1773.20,Computadoras,114
"Tablet Office","Producto de alta calidad para uso profesional",326.72,Redes,171
"Router Lite","Producto de alta calidad para uso profesional",616.78,Audio,127
"Tablet Lite","Producto de alta calidad para uso profesional",169.79,Computadoras,455
"Mouse Gaming","Producto de alta calidad para uso profesional",272.85,Perifericos,404
"Router Office","Producto de alta calidad para uso profesional",1678.38,Perifericos,103
"Laptop Gaming","Producto de alta calidad para uso profesional",1843.49,Computadoras,280
"Auriculares Elite","Producto de alta calidad para uso profesional",167.92,Perifericos,316
"SSD Plus","Producto de alta calidad para uso profesional",1505.17,Perifericos,90
"Teclado Max","Producto de alta calidad para uso profesional",1422.19,Audio,390
"Tablet Premium","Producto de alta calidad para uso profesional",384.02,Audio,286
"Router Max","Producto de alta calidad para uso profesional",1207.61,Audio,361
"Tablet Smart","Producto de alta calidad para uso profesional",84.54,Computadoras,336
"Monitor Office","Producto de alta calidad para uso profesional",1844.52,Redes,93
"Tablet Office","Producto de alta calidad para uso profesional",1438.51,Redes,156
"Monitor Premium","Producto de alta calidad para uso profesional",1812.33,Almacenamiento,275
"Tablet Pro","Producto de alta calidad para uso profesional",230.99,Computadoras,202
"Teclado Gaming","Producto de alta calidad para uso profesional",916.77,Almacenamiento,322
"Teclado Gaming","Producto de alta calidad para uso profesional",869.17,Audio,164
"Auriculares Gaming","Producto de alta calidad para uso profesional",1764.20,Audio,106
"Auriculares Pro","Producto de alta calidad para uso profesional",661.36,Audio,227
"Monitor Gaming","Producto de alta calidad para uso profesional",1792.31,Perifericos,261
"Webcam Premium","Producto de alta calidad para uso profesional",306.33,Audio,143
"Monitor Elite","Producto de alta calidad para uso profesional",629.39,Almacenamiento,372
"Impresora Max","Producto de alta calidad para uso profesional",141.86,Computadoras,294
"Tablet Office","Producto de alta calidad para uso profesional",107.98,Audio,249
"Webcam Pro","Producto de alta calidad para uso profesional",1152.64,Audio,120
"Mouse Elite","Producto de alta calidad para uso profesional",207.68,Audio,424
"Router Max","Producto de alta calidad para uso profesional",1026.44,Redes,101
"Mouse Lite","Producto de alta calidad para uso profesional",237.48,Audio,94
"Router Plus","Producto de alta calidad para uso profesional",417.17,Redes,299
"Teclado Plus","Producto de alta calidad para uso profesional",1498.95,Almacenamiento,203
"Webcam Office","Producto de alta calidad para uso profesional",1881.21,Perifericos,33
"Router Gaming","Producto de alta calidad para uso profesional",1278.03,Redes,15
"Teclado Smart","Producto de alta calidad para uso profesional",1798.49,Perifericos,269
"Router Plus","Producto de alta calidad para uso profesional",1628.60,Perifericos,380
"Mouse Ultra","Producto de alta calidad para uso profesional",1671.26,Perifericos,370
"Impresora Max","Producto de alta calidad para uso profesional",283.25,Audio,401
"Router Lite","Producto de alta calidad para uso profesional",837.26,Perifericos,426
"Monitor Office","Producto de alta calidad para uso profesional",264.93,Computadoras,266
"Monitor Elite","Producto de alta calidad para uso profesional",1390.44,Redes,402
"Router Office","Producto de alta calidad para uso profesional",13.11,Almacenamiento,241
"Webcam Office","Producto de alta calidad para uso profesional",283.89,Computadoras,444
"Monitor Lite","Producto de alta calidad para uso profesional",483.49,Computadoras,191
"Mouse Plus","Producto de alta calidad para uso profesional",1858.58,Almacenamiento,433
"Mouse Premium","Producto de alta calidad para uso profesional",155.76,Perifericos,19
"Laptop Gaming","Producto de alta calidad para uso profesional",886.70,Perifericos,14
"Teclado Pro","Producto de alta calidad para uso profesional",1457.52,Perifericos,413
"SSD Premium","Producto de alta calidad para uso profesional",983.10,Redes,281
"Teclado Ultra","Producto de alta calidad para uso profesional",557.40,Redes,288
"SSD Lite","Producto de alta calidad para uso profesional",1549.15,Almacenamiento,352
"Webcam Plus","Producto de alta calidad para uso profesional",1919.14,Computadoras,88
"Auriculares Pro","Producto de alta calidad para uso profesional",34.02,Audio,458
"Teclado Elite","Producto de alta calidad para uso profesional",1233.63,Almacenamiento,426
"Auriculares Lite","Producto de alta calidad para uso profesional",892.55,Computadoras,94
"Webcam Elite","Producto de alta calidad para uso profesional",362.61,Perifericos,292
"Mouse Max","Producto de alta calidad para uso profesional",592.04,Redes,125
"Impresora Max","Producto de alta calidad para uso profesional",59.78,Redes,9
"Monitor Gaming","Producto de alta calidad para uso profesional",782.05,Audio,285
"Webcam Gaming","Producto de alta calidad para uso profesional",1890.02,Almacenamiento,294
"Laptop Pro","Producto de alta calidad para uso profesional",1349.31,Redes,432
"Router Smart","Producto de alta calidad para uso profesional",1368.34,Almacenamiento,312
"Webcam Ultra","Producto de alta calidad para uso profesional",1679.76,Audio,462
"Mouse Ultra","Producto de alta calidad para uso profesional",1039.60,Perifericos,347
"Teclado Office","Producto de alta calidad para uso profesional",1301.60,Redes,23
"Monitor Elite","Producto de alta calidad para uso profesional",1498.93,Perifericos,327
"Monitor Lite","Producto de alta calidad para uso profesional",1518.01,Audio,425
"Webcam Max","Producto de alta calidad para uso profesional",1898.64,Audio,317
"Tablet Pro","Producto de alta calidad para uso profesional",978.36,Redes,335
"Teclado Lite","Producto de alta calidad para uso profesional",1689.69,Perifericos,225
"Teclado Lite","Producto de alta calidad para uso profesional",460.33,Almacenamiento,222
"Router Max","Producto de alta calidad para uso profesional",1096.30,Almacenamiento,428
"Mouse Elite","Producto de alta calidad para uso profesional",44.57,Redes,221
"Tablet Premium","Producto de alta calidad para uso profesional",149.65,Perifericos,254
"Router Ultra","Producto de alta calidad para uso profesional",1294.99,Audio,229
"Mouse Elite","Producto de alta calidad para uso profesional",1356.43,Redes,413
"Router Plus","Producto de alta calidad para uso profesional",1954.23,Almacenamiento,162
"Teclado Smart","Producto de alta calidad para uso profesional",1858.13,Computadoras,84
"Mouse Office","Producto de alta calidad para uso profesional",1178.14,Perifericos,417
"Webcam Office","Producto de alta calidad para uso profesional",1886.89,Redes,255
"Laptop Plus","Producto de alta calidad para uso profesional",610.65,Computadoras,319
"Impresora Ultra","Producto de alta calidad para uso profesional",390.96,Almacenamiento,40
"Webcam Elite","Producto de alta calidad para uso profesional",979.68,Perifericos,435
"SSD Plus","Producto de alta calidad para uso profesional",609.79,Audio,477
"Router Elite","Producto de alta calidad para uso profesional",1382.93,Audio,400
"Webcam Max","Producto de alta calidad para uso profesional",1013.15,Computadoras,78
"Auriculares Pro","Producto de alta calidad para uso profesional",154.85,Perifericos,391
"SSD Office","Producto de alta calidad para uso profesional",1806.71,Redes,309
"Auriculares Office","Producto de alta calidad para uso profesional",941.41,Redes,472
